id,spaceCode,spaceName,floor
763,4N752,516,4
764,4N753,517,4
766,4N755,518,4
768,4N757,519,4
770,4N759,520,4
762,4N751,521,4
760,4N749,522,4
758,4N747,523,4
756,4N745,524,4
755,4N744,525,4
757,4N746,526,4
759,4N748,527,4
761,4N750,528,4
754,4N743,529,4
752,4N741,530,4
750,4N739,531,4
748,4N737,532,4
747,4N736,533,4
749,4N738,534,4
751,4N740,535,4
753,4N742,536,4
746,4N735,537,4
744,4N733,538,4
742,4N731,539,4
740,4N729,540,4
739,4N728,541,4
741,4N730,542,4
743,4N732,543,4
745,4N734,544,4
875,4M666,545,4
873,4M664,546,4
871,4M662,547,4
869,4M660,548,4
867,4M658,549,4
865,4M656,550,4
876,4M667,551,4
874,4M665,552,4
872,4M663,553,4
870,4M661,554,4
868,4M659,555,4
866,4M657,556,4
887,4M678,557,4
885,4M676,558,4
883,4M674,559,4
881,4M672,560,4
879,4M670,561,4
877,4M668,562,4
888,4M679,563,4
886,4M677,564,4
884,4M675,565,4
882,4M673,566,4
880,4M671,567,4
878,4M669,568,4
899,4M690,569,4
897,4M688,570,4
